Location,Location_Type,Fatal_Crashes,Injury_Crashes,NonInjury_Crashes,Total_Crashes,Persons_Killed,District,Road_Name,Year,Category,Time_Period,Victim_Type
Balbir Singh Marg,Road,0,,,1,0,Unknown,Balbir Singh Marg,2022,District Road,All,All
GTK Road,Road,51,,,114,56,Unknown,GTK Road,2022,District Road,All,All
Bawana Road,Road,28,,,79,28,Unknown,Bawana Road,2022,District Road,All,All
Narela Road,Road,9,,,29,9,Unknown,Narela Road,2022,District Road,All,All
Palla Road,Road,5,,,13,5,Unknown,Palla Road,2022,District Road,All,All
Bawana Auchandi Road,Road,5,,,7,5,Unknown,Bawana Auchandi Road,2022,District Road,All,All
Burari Road,Road,2,,,5,2,Unknown,Burari Road,2022,District Road,All,All
Outer Ring Road,Road,2,,,3,2,Unknown,Outer Ring Road,2022,District Road,All,All
Alipur Road,Road,1,,,11,1,Unknown,Alipur Road,2022,District Road,All,All
DSIDC Narela Road,Road,1,,,8,1,Unknown,DSIDC Narela Road,2022,District Road,All,All
Kanjhawala Road,Road,1,,,3,1,Unknown,Kanjhawala Road,2022,District Road,All,All
Kanjhawala Road,Road,8,,,21,8,Unknown,Kanjhawala Road,2022,District Road,All,All
Bhagwan Mahavir Marg,Road,4,,,21,4,Unknown,Bhagwan Mahavir Marg,2022,District Road,All,All
Qutab Garh Road,Road,2,,,4,2,Unknown,Qutab Garh Road,2022,District Road,All,All
Road No 41,Road,1,,,5,1,Unknown,Road No 41,2022,District Road,All,All
Dinbandhu Chhote Ram Marg,Road,1,,,2,1,Unknown,Dinbandhu Chhote Ram Marg,2022,District Road,All,All
Rithala Road,Road,0,,,2,0,Unknown,Rithala Road,2022,District Road,All,All
Parwana Road,Road,0,,,1,0,Unknown,Parwana Road,2022,District Road,All,All
Maharaja Agarsen Road,Road,0,,,1,0,Unknown,Maharaja Agarsen Road,2022,District Road,All,All
Begumpur Road,Road,0,,,1,0,Unknown,Begumpur Road,2022,District Road,All,All
Awantika Road,Road,0,,,1,0,Unknown,Awantika Road,2022,District Road,All,All
Mehrauli Badarpur Road,Road,10,,,34,10,Unknown,Mehrauli Badarpur Road,2022,District Road,All,All
Mehrauli Gurgaon Road,Road,9,,,33,9,Unknown,Mehrauli Gurgaon Road,2022,District Road,All,All
Aurobindo Marg,Road,6,,,24,6,Unknown,Aurobindo Marg,2022,District Road,All,All
Ring Road,Road,4,,,20,6,Unknown,Ring Road,2022,District Road,All,All
Press Enclave Marg,Road,4,,,9,4,Unknown,Press Enclave Marg,2022,District Road,All,All
Outer Ring Road,Road,3,,,30,3,Unknown,Outer Ring Road,2022,District Road,All,All
Lala Lajpat Rai Path,Road,3,,,8,3,Unknown,Lala Lajpat Rai Path,2022,District Road,All,All
Anuvrat Road,Road,2,,,5,2,Unknown,Anuvrat Road,2022,District Road,All,All
100 Foota Chhattar Pur Road,Road,2,,,3,2,Unknown,100 Foota Chhattar Pur Road,2022,District Road,All,All
Lal Bhadur Shastri Marg,Road,1,,,17,1,Unknown,Lal Bhadur Shastri Marg,2022,District Road,All,All
Mathura Road,Road,26,,,110,26,Unknown,Mathura Road,2022,District Road,All,All
Ring Road,Road,16,,,55,17,Unknown,Ring Road,2022,District Road,All,All
Mehrauli Badarpur Road,Road,10,,,11,10,Unknown,Mehrauli Badarpur Road,2022,District Road,All,All
Anand Mai Marg,Road,8,,,42,8,Unknown,Anand Mai Marg,2022,District Road,All,All
Agra Canal Road,Road,6,,,21,6,Unknown,Agra Canal Road,2022,District Road,All,All
13A No Road,Road,6,,,18,6,Unknown,13A No Road,2022,District Road,All,All
Jaitpur Road,Road,4,,,4,4,Unknown,Jaitpur Road,2022,District Road,All,All
Outer Ring Road,Road,3,,,21,3,Unknown,Outer Ring Road,2022,District Road,All,All
Okhla Road,Road,3,,,6,3,Unknown,Okhla Road,2022,District Road,All,All
Lala Lajpat Rai Path,Road,2,,,19,3,Unknown,Lala Lajpat Rai Path,2022,District Road,All,All
NH-8,Road,29,,,84,30,Unknown,NH-8,2022,District Road,All,All
Ring Road,Road,15,,,47,15,Unknown,Ring Road,2022,District Road,All,All
Outer Ring Road,Road,10,,,33,11,Unknown,Outer Ring Road,2022,District Road,All,All
Bijwasan Road,Road,7,,,16,7,Unknown,Bijwasan Road,2022,District Road,All,All
201 No. Road,Road,5,,,19,5,Unknown,201 No. Road,2022,District Road,All,All
Old Gurgaon Road,Road,4,,,9,4,Unknown,Old Gurgaon Road,2022,District Road,All,All
Mahipal Pur Road,Road,3,,,19,3,Unknown,Mahipal Pur Road,2022,District Road,All,All
Rao Tula Ram Marg,Road,3,,,15,3,Unknown,Rao Tula Ram Marg,2022,District Road,All,All
Thimayya Marg,Road,3,,,7,3,Unknown,Thimayya Marg,2022,District Road,All,All
Nelson Mandela Marg,Road,2,,,4,2,Unknown,Nelson Mandela Marg,2022,District Road,All,All
Ring Road,Road,30,,,65,30,Unknown,Ring Road,2022,District Road,All,All
Rohtak Road,Road,19,,,42,19,Unknown,Rohtak Road,2022,District Road,All,All
Najafgarh Road,Road,13,,,63,13,Unknown,Najafgarh Road,2022,District Road,All,All
Pankha Road,Road,8,,,27,8,Unknown,Pankha Road,2022,District Road,All,All
Mayapuri Marg,Road,6,,,17,6,Unknown,Mayapuri Marg,2022,District Road,All,All
Patel Road,Road,5,,,16,5,Unknown,Patel Road,2022,District Road,All,All
Outer Ring Road,Road,4,,,25,4,Unknown,Outer Ring Road,2022,District Road,All,All
Dev Prakash Shastri Road,Road,4,,,18,5,Unknown,Dev Prakash Shastri Road,2022,District Road,All,All
Rama Road,Road,3,,,10,3,Unknown,Rama Road,2022,District Road,All,All
Jail Road,Road,1,,,8,1,Unknown,Jail Road,2022,District Road,All,All
Mukarba Chowk,Crash Prone Zone,12,,,23,12,,,2022,Crash Prone Zone,All,All
Khampur Village,Crash Prone Zone,10,,,19,10,,,2022,Crash Prone Zone,All,All
Dhaula Kuan,Crash Prone Zone,8,,,17,8,,,2022,Crash Prone Zone,All,All
Maya Puri Chowk,Crash Prone Zone,8,,,16,8,,,2022,Crash Prone Zone,All,All
Gandhi Vihar Bus Stand,Crash Prone Zone,7,,,25,7,,,2022,Crash Prone Zone,All,All
Bhalswa Chowk,Crash Prone Zone,7,,,21,7,,,2022,Crash Prone Zone,All,All
Peeragarhi Chowk,Crash Prone Zone,7,,,16,7,,,2022,Crash Prone Zone,All,All
Punjabi Bagh Chowk,Crash Prone Zone,7,,,15,7,,,2022,Crash Prone Zone,All,All
Britannia Chowk,Crash Prone Zone,7,,,14,7,,,2022,Crash Prone Zone,All,All
Ashram Chowk,Crash Prone Zone,7,,,14,7,,,2022,Crash Prone Zone,All,All
Akshardham Mandir,Crash Prone Zone,6,,,23,6,,,2022,Crash Prone Zone,All,All
Adarsh Nagar,Crash Prone Zone,6,,,10,6,,,2022,Crash Prone Zone,All,All
Mukundpur Chowk,Crash Prone Zone,5,,,21,5,,,2022,Crash Prone Zone,All,All
Nirankari Colony,Crash Prone Zone,5,,,16,5,,,2022,Crash Prone Zone,All,All
Loni Road Crossing,Crash Prone Zone,5,,,16,5,,,2022,Crash Prone Zone,All,All
Murga Mandi Flyover,Crash Prone Zone,5,,,13,5,,,2022,Crash Prone Zone,All,All
Shalimar Bagh,Crash Prone Zone,5,,,13,5,,,2022,Crash Prone Zone,All,All
Rama Road Crossing,Crash Prone Zone,5,,,12,5,,,2022,Crash Prone Zone,All,All
Kalindi Kunj,Crash Prone Zone,5,,,12,5,,,2022,Crash Prone Zone,All,All
Monestry Ring Road,Crash Prone Zone,5,,,11,5,,,2022,Crash Prone Zone,All,All
Nangli Poona,Crash Prone Zone,5,,,11,5,,,2022,Crash Prone Zone,All,All
Rajoukari Flyover,Crash Prone Zone,5,,,11,5,,,2022,Crash Prone Zone,All,All
Metro Station Dilshad Garden,Crash Prone Zone,5,,,11,5,,,2022,Crash Prone Zone,All,All
Wazir Pur Depot,Crash Prone Zone,5,,,11,5,,,2022,Crash Prone Zone,All,All
Metro Station Madipur,Crash Prone Zone,5,,,10,5,,,2022,Crash Prone Zone,All,All
Gb Pant Hospital,Crash Prone Zone,5,,,9,5,,,2022,Crash Prone Zone,All,All
Under Pass Gajipur,Crash Prone Zone,5,,,8,5,,,2022,Crash Prone Zone,All,All
SGT Nagar,Crash Prone Zone,5,,,7,5,,,2022,Crash Prone Zone,All,All
Okhla More,Crash Prone Zone,5,,,7,5,,,2022,Crash Prone Zone,All,All
Shanti Van,Crash Prone Zone,4,,,20,4,,,2022,Crash Prone Zone,All,All
ITO/I P Flyover,Crash Prone Zone,4,,,19,4,,,2022,Crash Prone Zone,All,All
AIIMS,Crash Prone Zone,4,,,17,4,,,2022,Crash Prone Zone,All,All
Zakhira Flyover,Crash Prone Zone,4,,,13,4,,,2022,Crash Prone Zone,All,All
Azadpur Bus Terminal,Crash Prone Zone,4,,,12,4,,,2022,Crash Prone Zone,All,All
Mahipalpur Flyover,Crash Prone Zone,4,,,11,4,,,2022,Crash Prone Zone,All,All
Toll Plaza Badarpur,Crash Prone Zone,4,,,10,4,,,2022,Crash Prone Zone,All,All
Prem Bari Pull,Crash Prone Zone,4,,,9,4,,,2022,Crash Prone Zone,All,All
Libaspur Bus Stand,Crash Prone Zone,4,,,9,4,,,2022,Crash Prone Zone,All,All
Telco Gajipur,Crash Prone Zone,4,,,8,4,,,2022,Crash Prone Zone,All,All
Jahangir Puri Bus Stand Outer Ring Road,Crash Prone Zone,4,,,8,4,,,2022,Crash Prone Zone,All,All
CNG Pump/Jain Mandir Nh-1,Crash Prone Zone,4,,,7,4,,,2022,Crash Prone Zone,All,All
C-1 Janakpuri,Crash Prone Zone,4,,,7,4,,,2022,Crash Prone Zone,All,All
Gurudwara Raja Garden,Crash Prone Zone,4,,,7,4,,,2022,Crash Prone Zone,All,All
DC Office,Crash Prone Zone,4,,,7,4,,,2022,Crash Prone Zone,All,All
Shamshan Ghat Punjabi Bagh,Crash Prone Zone,4,,,6,4,,,2022,Crash Prone Zone,All,All
Madhuban Chowk,Crash Prone Zone,4,,,6,4,,,2022,Crash Prone Zone,All,All
Shani Mandir Nh-1,Crash Prone Zone,4,,,6,4,,,2022,Crash Prone Zone,All,All
Red Light Rajiv Gandhi Hospital,Crash Prone Zone,4,,,6,4,,,2022,Crash Prone Zone,All,All
Lajwanti Chowk,Crash Prone Zone,4,,,5,4,,,2022,Crash Prone Zone,All,All
Singhu Border,Crash Prone Zone,4,,,5,4,,,2022,Crash Prone Zone,All,All
ICD Tuglakabad,Crash Prone Zone,4,,,4,4,,,2022,Crash Prone Zone,All,All
Shastri Park/IT Park,Crash Prone Zone,3,,,25,3,,,2022,Crash Prone Zone,All,All
Azadpur Sabzi Mandi,Crash Prone Zone,3,,,14,3,,,2022,Crash Prone Zone,All,All
Govindpuri Metro Station,Crash Prone Zone,3,,,13,3,,,2022,Crash Prone Zone,All,All
RML Hospital,Crash Prone Zone,3,,,13,3,,,2022,Crash Prone Zone,All,All
Kakrola Dwarka More,Crash Prone Zone,3,,,12,3,,,2022,Crash Prone Zone,All,All
Azad Pur Chowk,Crash Prone Zone,3,,,12,3,,,2022,Crash Prone Zone,All,All
Delhi Gate,Crash Prone Zone,3,,,11,3,,,2022,Crash Prone Zone,All,All
Pani Ki Tanki Nangloi,Crash Prone Zone,3,,,11,3,,,2022,Crash Prone Zone,All,All
Shakarpur Chungi,Crash Prone Zone,3,,,10,3,,,2022,Crash Prone Zone,All,All
Wazirabad,Crash Prone Zone,3,,,9,3,,,2022,Crash Prone Zone,All,All
Gokalpuri,Crash Prone Zone,3,,,9,3,,,2022,Crash Prone Zone,All,All
Dharampura Red Light Seelampur,Crash Prone Zone,3,,,9,3,,,2022,Crash Prone Zone,All,All
Shiv Murti Nh-8,Crash Prone Zone,3,,,8,3,,,2022,Crash Prone Zone,All,All
Sanjay T-Point,Crash Prone Zone,3,,,8,3,,,2022,Crash Prone Zone,All,All
Hyaat Hotel,Crash Prone Zone,3,,,8,3,,,2022,Crash Prone Zone,All,All
Bakoli Bus Stand,Crash Prone Zone,3,,,8,3,,,2022,Crash Prone Zone,All,All
IP DTC Depot,Crash Prone Zone,3,,,7,3,,,2022,Crash Prone Zone,All,All
Kalkaji Mandir,Crash Prone Zone,3,,,7,3,,,2022,Crash Prone Zone,All,All
Delhi Public Lib/Sriniwas Puri/Gupta Market,Crash Prone Zone,3,,,7,3,,,2022,Crash Prone Zone,All,All
Shyam Lal College,Crash Prone Zone,3,,,7,3,,,2022,Crash Prone Zone,All,All
Hanuman Mandir Yamuna Bazar,Crash Prone Zone,3,,,7,3,,,2022,Crash Prone Zone,All,All
Bhajanpura Chowk,Crash Prone Zone,3,,,7,3,,,2022,Crash Prone Zone,All,All
Rajdhani Park,Crash Prone Zone,3,,,7,3,,,2022,Crash Prone Zone,All,All
Gazipur Village Near Petrol Pump,Crash Prone Zone,3,,,7,3,,,2022,Crash Prone Zone,All,All
Barwala Village Bawana Road,Crash Prone Zone,3,,,6,3,,,2022,Crash Prone Zone,All,All
Metro Station East Punjabi Bagh,Crash Prone Zone,3,,,6,3,,,2022,Crash Prone Zone,All,All
Round About Okhla Estate,Crash Prone Zone,3,,,6,3,,,2022,Crash Prone Zone,All,All
East Vinod Nagar/Mv Ii Red Light,Crash Prone Zone,3,,,6,3,,,2022,Crash Prone Zone,All,All
Sarai Kale Khan,Crash Prone Zone,3,,,6,3,,,2022,Crash Prone Zone,All,All
Janak Cinema,Crash Prone Zone,3,,,6,3,,,2022,Crash Prone Zone,All,All
IG Indoor Stadium,Crash Prone Zone,3,,,6,3,,,2022,Crash Prone Zone,All,All
VIP College Pitampura,Crash Prone Zone,3,,,6,3,,,2022,Crash Prone Zone,All,All
West Enclave Red Light,Crash Prone Zone,3,,,6,3,,,2022,Crash Prone Zone,All,All
Gurudwara Bangla Sahib,Crash Prone Zone,3,,,5,3,,,2022,Crash Prone Zone,All,All
Sai Baba Mandir Nh-1,Crash Prone Zone,3,,,5,3,,,2022,Crash Prone Zone,All,All
Lajpat Rai Market (Lal Qila),Crash Prone Zone,3,,,5,3,,,2022,Crash Prone Zone,All,All
Model Town IIIrd,Crash Prone Zone,3,,,5,3,,,2022,Crash Prone Zone,All,All
Subhash Nagar Metro Station,Crash Prone Zone,3,,,5,3,,,2022,Crash Prone Zone,All,All
Lado Sarai Crossing,Crash Prone Zone,3,,,5,3,,,2022,Crash Prone Zone,All,All
Shamshan Ghat Geeta Colony,Crash Prone Zone,3,,,5,3,,,2022,Crash Prone Zone,All,All
Budhpur Ganda Nala/Hanuman Mandir,Crash Prone Zone,3,,,4,3,,,2022,Crash Prone Zone,All,All
Near Maurya Sheraton Hotel,Crash Prone Zone,3,,,4,3,,,2022,Crash Prone Zone,All,All
Safdarjung Hospital,Crash Prone Zone,3,,,4,3,,,2022,Crash Prone Zone,All,All
Mool Chand,Crash Prone Zone,2,,,14,2,,,2022,Crash Prone Zone,All,All
Swaroop Nagar,Crash Prone Zone,2,,,13,2,,,2022,Crash Prone Zone,All,All
Khajoori Chowk,Crash Prone Zone,2,,,12,2,,,2022,Crash Prone Zone,All,All
Gagan Cinema,Crash Prone Zone,2,,,12,2,,,2022,Crash Prone Zone,All,All
Kings Way Camp Chowk,Crash Prone Zone,2,,,11,2,,,2022,Crash Prone Zone,All,All
Shyamgiri Mandir Shastri Park,Crash Prone Zone,2,,,11,2,,,2022,Crash Prone Zone,All,All
Burari Chowk,Crash Prone Zone,2,,,11,2,,,2022,Crash Prone Zone,All,All
NSIT Dwarka,Crash Prone Zone,2,,,11,2,,,2022,Crash Prone Zone,All,All
Mundka Metro Station,Crash Prone Zone,2,,,10,2,,,2022,Crash Prone Zone,All,All
Rajouri Garden,Crash Prone Zone,2,,,10,2,,,2022,Crash Prone Zone,All,All
Rajapuri Red Light,Crash Prone Zone,2,,,10,2,,,2022,Crash Prone Zone,All,All
Jahangir Puri Metro Station GTK Road,Crash Prone Zone,1,,,15,1,,,2022,Crash Prone Zone,All,All
Moti Bagh Flyover,Crash Prone Zone,1,,,11,1,,,2022,Crash Prone Zone,All,All
Moti Nagar Flyover,Crash Prone Zone,1,,,11,1,,,2022,Crash Prone Zone,All,All
Nehru Palace,Crash Prone Zone,1,,,11,1,,,2022,Crash Prone Zone,All,All
Chirag Delhi Flyover,Crash Prone Zone,1,,,11,1,,,2022,Crash Prone Zone,All,All
Khichadi Pur,Crash Prone Zone,1,,,11,1,,,2022,Crash Prone Zone,All,All
Kashmiri Gate Chowk Boulevard Road,Crash Prone Zone,1,,,11,1,,,2022,Crash Prone Zone,All,All
Durgapuri Chowk,Crash Prone Zone,1,,,10,1,,,2022,Crash Prone Zone,All,All
Sarita Vihar Metro Station,Crash Prone Zone,1,,,10,1,,,2022,Crash Prone Zone,All,All
Keshopur T Point,Crash Prone Zone,1,,,10,1,,,2022,Crash Prone Zone,All,All
Modi Mill Flyover,Crash Prone Zone,1,,,10,1,,,2022,Crash Prone Zone,All,All
Sec 10 Red Light Dwarka,Crash Prone Zone,0,,,12,0,,,2022,Crash Prone Zone,All,All
Mukarba Chowk,Black Spot,12,,1,23,12,,,2022,Black Spot,All,All
Khampur Village,Black Spot,10,,1,19,10,,,2022,Black Spot,All,All
Dhaula Kuan,Black Spot,8,,1,17,8,,,2022,Black Spot,All,All
Maya Puri Chowk,Black Spot,8,,0,16,8,,,2022,Black Spot,All,All
Gandhi Vihar Bus Stand,Black Spot,7,,0,25,7,,,2022,Black Spot,All,All
Bhalswa Chowk,Black Spot,7,,0,21,7,,,2022,Black Spot,All,All
Peera Garhi Chowk,Black Spot,7,,0,16,7,,,2022,Black Spot,All,All
Punjabi Bagh Chowk,Black Spot,7,,0,15,7,,,2022,Black Spot,All,All
Britannia Chowk,Black Spot,7,,0,14,7,,,2022,Black Spot,All,All
Ashram Chowk,Black Spot,7,,0,14,7,,,2022,Black Spot,All,All
Outer Ring Road,Road,15,,,46,15,,Outer Ring Road,2022,Pedestrian Road,Day,Pedestrian
Outer Ring Road,Road,25,,,61,25,,Outer Ring Road,2022,Pedestrian Road,Night,Pedestrian
Ring Road,Road,10,,,51,10,,Ring Road,2022,Pedestrian Road,Day,Pedestrian
Ring Road,Road,29,,,62,29,,Ring Road,2022,Pedestrian Road,Night,Pedestrian
Rohtak Road,Road,21,,,54,21,,Rohtak Road,2022,Pedestrian Road,Day,Pedestrian
Rohtak Road,Road,14,,,34,14,,Rohtak Road,2022,Pedestrian Road,Night,Pedestrian
GTK Road,Road,14,,,43,14,,GTK Road,2022,Pedestrian Road,Day,Pedestrian
GTK Road,Road,19,,,32,19,,GTK Road,2022,Pedestrian Road,Night,Pedestrian
Bawana Road,Road,4,,,13,4,,Bawana Road,2022,Pedestrian Road,Day,Pedestrian
Bawana Road,Road,8,,,12,8,,Bawana Road,2022,Pedestrian Road,Night,Pedestrian
Road No 56,Road,7,,,14,7,,Road No 56,2022,Pedestrian Road,Day,Pedestrian
Road No 56,Road,5,,,7,5,,Road No 56,2022,Pedestrian Road,Night,Pedestrian
Mathura Road,Road,5,,,22,5,,Mathura Road,2022,Pedestrian Road,Day,Pedestrian
Mathura Road,Road,6,,,16,6,,Mathura Road,2022,Pedestrian Road,Night,Pedestrian
NH-8,Road,5,,,8,5,,NH-8,2022,Pedestrian Road,Day,Pedestrian
NH-8,Road,6,,,8,6,,NH-8,2022,Pedestrian Road,Night,Pedestrian
Najafgarh Road,Road,3,,,23,3,,Najafgarh Road,2022,Pedestrian Road,Day,Pedestrian
Najafgarh Road,Road,7,,,20,7,,Najafgarh Road,2022,Pedestrian Road,Night,Pedestrian
Grand Trunk Road,Road,4,,,21,4,,Grand Trunk Road,2022,Pedestrian Road,Day,Pedestrian
Grand Trunk Road,Road,5,,,11,5,,Grand Trunk Road,2022,Pedestrian Road,Night,Pedestrian
Wazirabad Road,Road,2,,,30,2,,Wazirabad Road,2022,Pedestrian Road,Day,Pedestrian
Wazirabad Road,Road,5,,,16,5,,Wazirabad Road,2022,Pedestrian Road,Night,Pedestrian
Desh Bandu Gupta Road,Road,5,,,10,5,,Desh Bandu Gupta Road,2022,Pedestrian Road,Day,Pedestrian
Desh Bandu Gupta Road,Road,2,,,7,2,,Desh Bandu Gupta Road,2022,Pedestrian Road,Night,Pedestrian
Pusta Road,Road,2,,,18,2,,Pusta Road,2022,Pedestrian Road,Day,Pedestrian
Pusta Road,Road,4,,,15,4,,Pusta Road,2022,Pedestrian Road,Night,Pedestrian
201 No. Road,Road,5,,,15,5,,201 No. Road,2022,Pedestrian Road,Day,Pedestrian
201 No. Road,Road,1,,,9,1,,201 No. Road,2022,Pedestrian Road,Night,Pedestrian
Mehrauli Badarpur Road,Road,3,,,7,3,,Mehrauli Badarpur Road,2022,Pedestrian Road,Day,Pedestrian
Mehrauli Badarpur Road,Road,3,,,6,3,,Mehrauli Badarpur Road,2022,Pedestrian Road,Night,Pedestrian
Jawar Lal Nehru Road,Road,4,,,8,4,,Jawar Lal Nehru Road,2022,Pedestrian Road,Day,Pedestrian
Jawar Lal Nehru Road,Road,2,,,2,2,,Jawar Lal Nehru Road,2022,Pedestrian Road,Night,Pedestrian
Patel Road,Road,2,,,4,2,,Patel Road,2022,Pedestrian Road,Day,Pedestrian
Patel Road,Road,3,,,7,3,,Patel Road,2022,Pedestrian Road,Night,Pedestrian
NH-24,Road,3,,,16,3,,NH-24,2022,Pedestrian Road,Day,Pedestrian
NH-24,Road,1,,,11,1,,NH-24,2022,Pedestrian Road,Night,Pedestrian
Pankha Road,Road,0,,,8,0,,Pankha Road,2022,Pedestrian Road,Day,Pedestrian
Pankha Road,Road,4,,,6,4,,Pankha Road,2022,Pedestrian Road,Night,Pedestrian
Road No 57,Road,3,,,10,3,,Road No 57,2022,Pedestrian Road,Day,Pedestrian
Road No 57,Road,1,,,2,1,,Road No 57,2022,Pedestrian Road,Night,Pedestrian
Narela Road,Road,1,,,5,1,,Narela Road,2022,Pedestrian Road,Day,Pedestrian
Narela Road,Road,3,,,6,3,,Narela Road,2022,Pedestrian Road,Night,Pedestrian
Yamuna Pusta Road,Road,0,,,3,0,,Yamuna Pusta Road,2022,Pedestrian Road,Day,Pedestrian
Yamuna Pusta Road,Road,4,,,7,4,,Yamuna Pusta Road,2022,Pedestrian Road,Night,Pedestrian
Lala Lajpat Rai Path,Road,2,,,8,2,,Lala Lajpat Rai Path,2022,Pedestrian Road,Day,Pedestrian
Lala Lajpat Rai Path,Road,2,,,2,2,,Lala Lajpat Rai Path,2022,Pedestrian Road,Night,Pedestrian
Mehrauli Gurgaon Road,Road,1,,,8,1,,Mehrauli Gurgaon Road,2022,Pedestrian Road,Day,Pedestrian
Mehrauli Gurgaon Road,Road,2,,,4,2,,Mehrauli Gurgaon Road,2022,Pedestrian Road,Night,Pedestrian
Baba Kharak Singh Marg,Road,2,,,6,2,,Baba Kharak Singh Marg,2022,Pedestrian Road,Day,Pedestrian
Baba Kharak Singh Marg,Road,1,,,5,1,,Baba Kharak Singh Marg,2022,Pedestrian Road,Night,Pedestrian
